"source","target","weight","layer","weight_norm"
10001,10091,5,"L1_to_L2",0.0151975683890578
10001,10106,9,"L1_to_L2",0.027355623100304
10001,10128,12,"L1_to_L2",0.0364741641337386
10001,10180,14,"L1_to_L2",0.0425531914893617
10001,10246,15,"L1_to_L2",0.0455927051671733
10001,10277,5,"L1_to_L2",0.0151975683890578
10001,10283,18,"L1_to_L2",0.0547112462006079
10001,10580,8,"L1_to_L2",0.0243161094224924
10001,10671,7,"L1_to_L2",0.0212765957446809
10001,10728,5,"L1_to_L2",0.0151975683890578
10001,10923,10,"L1_to_L2",0.0303951367781155
10001,11133,13,"L1_to_L2",0.0395136778115502
10001,11361,5,"L1_to_L2",0.0151975683890578
10001,11391,23,"L1_to_L2",0.0699088145896656
10001,11572,9,"L1_to_L2",0.027355623100304
10001,12041,6,"L1_to_L2",0.0182370820668693
10001,12628,9,"L1_to_L2",0.027355623100304
10001,13317,13,"L1_to_L2",0.0395136778115502
10001,13825,5,"L1_to_L2",0.0151975683890578
10001,14899,7,"L1_to_L2",0.0212765957446809
10001,16445,6,"L1_to_L2",0.0182370820668693
10001,17144,8,"L1_to_L2",0.0243161094224924
10001,76294,5,"L1_to_L2",0.0151975683890578
10001,523643,5,"L1_to_L2",0.0151975683890578
10001,523921,6,"L1_to_L2",0.0182370820668693
10001,539202,6,"L1_to_L2",0.0182370820668693
10001,800145,12,"L1_to_L2",0.0364741641337386
10001,800178,32,"L1_to_L2",0.0972644376899696
10001,800595,21,"L1_to_L2",0.0638297872340425
10001,802938,5,"L1_to_L2",0.0151975683890578
10001,806876,14,"L1_to_L2",0.0425531914893617
10001,808384,6,"L1_to_L2",0.0182370820668693
10001,926518,5,"L1_to_L2",0.0151975683890578
10003,10796,104,"L1_to_L2",0.429752066115702
10003,11793,8,"L1_to_L2",0.0330578512396694
10003,15102,19,"L1_to_L2",0.0785123966942149
10003,16295,18,"L1_to_L2",0.0743801652892562
10003,18788,8,"L1_to_L2",0.0330578512396694
10003,22586,8,"L1_to_L2",0.0330578512396694
10003,23164,13,"L1_to_L2",0.0537190082644628
10003,24371,16,"L1_to_L2",0.0661157024793388
10003,108445,6,"L1_to_L2",0.0247933884297521
10003,514032,11,"L1_to_L2",0.0454545454545455
10003,514675,12,"L1_to_L2",0.0495867768595041
10003,519094,13,"L1_to_L2",0.0537190082644628
10003,526943,6,"L1_to_L2",0.0247933884297521
10005,10030,15,"L1_to_L2",0.00198491464867011
10005,10041,11,"L1_to_L2",0.00145560407569141
10005,10070,38,"L1_to_L2",0.0050284504432976
10005,10109,12,"L1_to_L2",0.00158793171893609
10005,10110,6,"L1_to_L2",0.000793965859468043
10005,10192,169,"L1_to_L2",0.0223633717083499
10005,10210,9,"L1_to_L2",0.00119094878920206
10005,10333,11,"L1_to_L2",0.00145560407569141
10005,10442,46,"L1_to_L2;Relay_to_DN",0.00608707158925499
10005,10527,23,"L1_to_L2",0.0030435357946275
10005,10546,27,"L1_to_L2",0.00357284636760619
10005,10606,173,"L1_to_L2",0.0228926822813286
10005,10636,12,"L1_to_L2",0.00158793171893609
10005,10654,20,"L1_to_L2;Relay_to_DN",0.00264655286489348
10005,10885,42,"L1_to_L2",0.0055577610162763
10005,10920,41,"L1_to_L2",0.00542543337303163
10005,10971,81,"L1_to_L2",0.0107185391028186
10005,10989,33,"L1_to_L2",0.00436681222707424
10005,11002,114,"L1_to_L2",0.0150853513298928
10005,11028,5,"L1_to_L2",0.000661638216223369
10005,11163,8,"L1_to_L2",0.00105862114595739
10005,11232,26,"L1_to_L2",0.00344051872436152
10005,11288,56,"L1_to_L2",0.00741034802170173
10005,11306,24,"L1_to_L2",0.00317586343787217
10005,11332,11,"L1_to_L2",0.00145560407569141
10005,11338,47,"L1_to_L2",0.00621939923249967
10005,11351,17,"L1_to_L2",0.00224956993515945
10005,11410,5,"L1_to_L2",0.000661638216223369
10005,11441,18,"L1_to_L2",0.00238189757840413
10005,11457,138,"L1_to_L2",0.018261214767765
10005,11577,41,"L1_to_L2",0.00542543337303163
10005,11626,5,"L1_to_L2",0.000661638216223369
10005,11636,26,"L1_to_L2",0.00344051872436152
10005,11659,5,"L1_to_L2",0.000661638216223369
10005,11750,24,"L1_to_L2",0.00317586343787217
10005,11795,24,"L1_to_L2",0.00317586343787217
10005,11955,127,"L1_to_L2",0.0168056106920736
10005,12069,22,"L1_to_L2;Relay_to_DN",0.00291120815138282
10005,12348,15,"L1_to_L2",0.00198491464867011
10005,12391,18,"L1_to_L2",0.00238189757840413
10005,12627,10,"L1_to_L2",0.00132327643244674
10005,12767,84,"L1_to_L2;Relay_to_DN",0.0111155220325526
10005,12830,5,"L1_to_L2",0.000661638216223369
10005,13050,8,"L1_to_L2",0.00105862114595739
10005,13084,201,"L1_to_L2",0.0265978562921794
10005,13183,11,"L1_to_L2",0.00145560407569141
10005,13289,28,"L1_to_L2",0.00370517401085087
10005,13291,6,"L1_to_L2",0.000793965859468043
10005,13501,24,"L1_to_L2",0.00317586343787217
10005,13534,7,"L1_to_L2",0.000926293502712717
10005,13568,30,"L1_to_L2",0.00396982929734021
10005,13987,9,"L1_to_L2",0.00119094878920206
10005,14040,5,"L1_to_L2",0.000661638216223369
10005,14373,14,"L1_to_L2",0.00185258700542543
10005,14458,10,"L1_to_L2",0.00132327643244674
10005,14648,11,"L1_to_L2",0.00145560407569141
10005,14681,193,"L1_to_L2",0.025539235146222
10005,14777,13,"L1_to_L2",0.00172025936218076
10005,15505,15,"L1_to_L2",0.00198491464867011
10005,15720,12,"L1_to_L2",0.00158793171893609
10005,16938,55,"L1_to_L2",0.00727802037845706
10005,17908,17,"L1_to_L2",0.00224956993515945
10005,19283,20,"L1_to_L2",0.00264655286489348
10005,19586,66,"L1_to_L2",0.00873362445414847
10005,19686,9,"L1_to_L2",0.00119094878920206
10005,20594,159,"L1_to_L2",0.0210400952759031
10005,22126,17,"L1_to_L2",0.00224956993515945
10005,22524,6,"L1_to_L2",0.000793965859468043
10005,23775,82,"L1_to_L2",0.0108508667460633
10005,24626,18,"L1_to_L2",0.00238189757840413
10005,25555,5,"L1_to_L2",0.000661638216223369
10005,26203,8,"L1_to_L2",0.00105862114595739
10005,26672,9,"L1_to_L2",0.00119094878920206
10005,27712,13,"L1_to_L2",0.00172025936218076
10005,28770,5,"L1_to_L2",0.000661638216223369
10005,30194,18,"L1_to_L2",0.00238189757840413
10005,31330,11,"L1_to_L2",0.00145560407569141
10005,31434,6,"L1_to_L2",0.000793965859468043
10005,32069,17,"L1_to_L2",0.00224956993515945
10005,32081,14,"L1_to_L2",0.00185258700542543
10005,33289,165,"L1_to_L2",0.0218340611353712
10005,34265,59,"L1_to_L2",0.00780733095143576
10005,36963,15,"L1_to_L2",0.00198491464867011
10005,37378,16,"L1_to_L2",0.00211724229191478
10005,38847,310,"L1_to_L2",0.0410215694058489
10005,39510,5,"L1_to_L2",0.000661638216223369
10005,39609,12,"L1_to_L2",0.00158793171893609
10005,42132,7,"L1_to_L2",0.000926293502712717
10005,42543,5,"L1_to_L2",0.000661638216223369
10005,42625,19,"L1_to_L2",0.0025142252216488
10005,46259,51,"L1_to_L2",0.00674870980547836
10005,51658,110,"L1_to_L2",0.0145560407569141
10005,51887,11,"L1_to_L2",0.00145560407569141
10005,55361,46,"L1_to_L2",0.00608707158925499
10005,63923,7,"L1_to_L2",0.000926293502712717
10005,71751,6,"L1_to_L2",0.000793965859468043
10005,72857,5,"L1_to_L2",0.000661638216223369
10005,73647,5,"L1_to_L2",0.000661638216223369
10005,79381,10,"L1_to_L2",0.00132327643244674
10005,82950,10,"L1_to_L2",0.00132327643244674
10005,88651,17,"L1_to_L2",0.00224956993515945
