"bodyid","post","pre","downstream","upstream","synweight","assignedOlHex1","assignedOlHex2","flywireType","group","name","somaSide","statusLabel","superclass","type","vfbId","hemibrainType","itoleeHl","supertype","birthtime","mancBodyid","mancGroup","mancType","subclass","synonyms","class","rootSide","somaNeuromere","trumanHl","dimorphism","matchingNotes","entryNerve","mancSerial","mcnsSerial","serialMotif","fruDsx","exitNerve","receptorType","somaLocation","tosomaLocation","status","totalNtPredictions","predictedNtConfidence","predictedNt","celltypeTotalNtPredictions","celltypePredictedNt","celltypePredictedNtConfidence","consensusNt","voxels","locationType","soma","role","superclass_export"
10001,18582,1015,4491,18582,23073,NA,NA,"DNp01",10001,"DNp01(GF)_R","R","Roughly traced","descending_neuron","DNp01","VFB_jrmc30my","Giant Fiber","putative_primary",NA,"early",10000,10000,"DNp01","lt","Kennedy and Broadie 2018: GF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37124,22258,36274","","Traced",1015,0.500495553016663,"acetylcholine",1991,"acetylcholine",0.528263330459595,"acetylcholine",106999248062,NA,TRUE,"OUTPUT_MOTOR","descending_neuron"
10003,27014,4425,30020,27014,57034,NA,NA,"VCH",10003,"VCH_R","R","Prelim Roughly traced","visual_centrifugal","VCH","VFB_jrmc074n","VCH","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46716,21029,15714","","Traced",4425,0.879324793815613,"gaba",8721,"gaba",0.874799072742462,"gaba",8946595833,NA,TRUE,"INTERNEURON","visual_centrifugal"
10005,31981,2837,23423,31981,55404,NA,NA,"AOTU019",10005,"AOTU019_R","R","Roughly traced","cb_intrinsic","AOTU019","VFB_jrmc3hk6","AOTU019","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41190,18491,12885","","Traced",2837,0.835076212882996,"gaba",5673,"gaba",0.830503523349762,"gaba",11847745920,NA,TRUE,"INTERNEURON","cb_intrinsic"
10006,20321,426,2175,20321,22496,NA,NA,"VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8",10006,"VS_L","L","Prelim Roughly traced","visual_projection","VS","VFB_jrmc003x","VS","no_lineage","10006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69604,28368,42459","","Traced",426,0.904134333133698,"acetylcholine",5260,"acetylcholine",0.820038080215454,"acetylcholine",20513896288,NA,TRUE,"INPUT_VISUAL","visual_projection"
10010,24896,976,4382,24896,29278,NA,NA,"DNp01",10001,"DNp01(GF)_L","L","Roughly traced","descending_neuron","DNp01","VFB_jrmc30mz","Giant Fiber","putative_primary",NA,"early",10002,10000,"DNp01","lt","Kennedy and Broadie 2018: GF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58238,22234,36276","","Traced",976,0.557140707969666,"acetylcholine",1991,"acetylcholine",0.528263330459595,"acetylcholine",90872400261,NA,TRUE,"OUTPUT_MOTOR","descending_neuron"
10012,18473,464,2415,18473,20888,NA,NA,"VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8",10006,"VS_R","R","Roughly traced","visual_projection","VS","VFB_jrmc003v","VS","no_lineage","10006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23402,27713,43514","","Traced",464,0.859766006469727,"acetylcholine",5260,"acetylcholine",0.820038080215454,"acetylcholine",18184684149,NA,TRUE,"INPUT_VISUAL","visual_projection"
10015,17139,489,2770,17139,19909,NA,NA,"HSN",10015,"HSN_R","R","Roughly traced","visual_projection","HSN","VFB_jrmc2umm","HSN","putative_primary","10015","early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31905,26492,38696","","Traced",489,0.768647193908691,"acetylcholine",890,"acetylcholine",0.797176122665405,"acetylcholine",19592174183,NA,TRUE,"INPUT_VISUAL","visual_projection"
10016,18731,442,2299,18731,21030,NA,NA,"HSE",10016,"HSE_R","R","Roughly traced","visual_projection","HSE","VFB_jrmc2umk","HSE","putative_primary","10015","early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31585,24676,38269","","Traced",442,0.906730949878693,"acetylcholine",874,"acetylcholine",0.90705281496048,"acetylcholine",19390346866,NA,TRUE,"INPUT_VISUAL","visual_projection"
10017,9584,336,1320,9584,10904,NA,NA,"AMMC-A1",10017,"AMMC-A1_L","L","Roughly traced","cb_intrinsic","AMMC-A1","VFB_jrmc3fv9","AMMC-A1","putative_primary",NA,"early",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62102,23592,36712","","Traced",336,0.474988996982574,"unclear",1551,"acetylcholine",0.519177317619324,"acetylcholine",10479266671,NA,TRUE,"INTERNEURON","cb_intrinsic"
10018,6931,3307,23544,6931,30475,NA,NA,"LAL138",10018,"LAL138_L","L","Roughly traced","cb_intrinsic","LAL138","VFB_jrmc2cxi","LAL138","putative_primary",NA,"early",NA,NA,NA,NA,"fru-M-100201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fru_low",NA,NA,"62066,17846,34629","","Traced",3307,0.8824702501297,"gaba",7272,"gaba",0.8791344165802,"gaba",5093921317,NA,TRUE,"INTERNEURON","cb_intrinsic"
