"bodyid","name","type","action","side"
10001,"DNp01(GF)_R","DNp01","FORWARD_ACCEL","R"
10010,"DNp01(GF)_L","DNp01","FORWARD_ACCEL","L"
10360,"DNa02_R","DNa02","STEERING","R"
10654,"DNb01_L","DNb01","LIFT","L"
10759,"DNb01_R","DNb01","LIFT","R"
10760,"DNa01(VES006)_R","DNa01","STEERING","R"
10783,"DNp09_L","DNp09","FORWARD_ACCEL","L"
10805,"DNb02_R","DNb02","LIFT","R"
11177,"DNp09_R","DNp09","FORWARD_ACCEL","R"
11215,"DNp15_R","DNp15","WING_BEAT","R"
12069,"DNp15_L","DNp15","WING_BEAT","L"
12767,"DNb02_L","DNb02","LIFT","L"
13922,"DNb02_R","DNb02","LIFT","R"
17331,"DNg02_d_R","DNg02_d","WING_BEAT","R"
22393,"DNg02_a_R","DNg02_a","WING_BEAT","R"
22404,"DNg02_a_L","DNg02_a","WING_BEAT","L"
23411,"DNg02_a_R","DNg02_a","WING_BEAT","R"
26049,"DNg02_a_R","DNg02_a","WING_BEAT","R"
523769,"DNa02_L","DNa02","STEERING","L"
529488,"DNb02_L","DNb02","LIFT","L"
10442,"DNa01(VES006)_L","DNa01","STEERING","L"
18183,"DNg02_f_R","DNg02_f","WING_BEAT","R"
19773,"DNg02_g_L","DNg02_g","WING_BEAT","L"
20289,"DNg02_g_R","DNg02_g","WING_BEAT","R"
20962,"DNg02_f_L","DNg02_f","WING_BEAT","L"
21122,"DNg02_a_L","DNg02_a","WING_BEAT","L"
22462,"DNg02_g_R","DNg02_g","WING_BEAT","R"
25357,"DNg02_d_L","DNg02_d","WING_BEAT","L"
25852,"DNg02_a_L","DNg02_a","WING_BEAT","L"
26079,"DNg02_b_R","DNg02_b","WING_BEAT","R"
28905,"DNg02_a_L","DNg02_a","WING_BEAT","L"
30228,"DNg02_a_R","DNg02_a","WING_BEAT","R"
31641,"DNg02_a_R","DNg02_a","WING_BEAT","R"
33333,"DNg02_g_L","DNg02_g","WING_BEAT","L"
35988,"DNg02_a_L","DNg02_a","WING_BEAT","L"
177685,"DNg02_e_L","DNg02_e","WING_BEAT","L"
516667,"DNg02_e_R","DNg02_e","WING_BEAT","R"
20849,"DNg02_b_L","DNg02_b","WING_BEAT","L"
33424,"DNg02_b_L","DNg02_b","WING_BEAT","L"
37135,"DNg02_b_L","DNg02_b","WING_BEAT","L"
262979,"DNg02_b_R","DNg02_b","WING_BEAT","R"
225466,"DNg02_c_R","DNg02_c","WING_BEAT","R"
302599,"DNg02_c_L","DNg02_c","WING_BEAT","L"
525126,"DNg02_c_L","DNg02_c","WING_BEAT","L"
295340,"DNg02_c_R","DNg02_c","WING_BEAT","R"
