"bodyid","name","type","signal","side"
10006,"VS_L","VS","OPTIC_FLOW","L"
10012,"VS_R","VS","OPTIC_FLOW","R"
10015,"HSN_R","HSN","OPTIC_FLOW","R"
10016,"HSE_R","HSE","OPTIC_FLOW","R"
10023,"HSS_R","HSS","OPTIC_FLOW","R"
10034,"HSE_L","HSE","OPTIC_FLOW","L"
10037,"VS_R","VS","OPTIC_FLOW","R"
10073,"VS_L","VS","OPTIC_FLOW","L"
10112,"VS_R","VS","OPTIC_FLOW","R"
10161,"VS_L","VS","OPTIC_FLOW","L"
10181,"HSN_L","HSN","OPTIC_FLOW","L"
10206,"VS_R","VS","OPTIC_FLOW","R"
10284,"VS_R","VS","OPTIC_FLOW","R"
10311,"VS_R","VS","OPTIC_FLOW","R"
10403,"VS_R","VS","OPTIC_FLOW","R"
10419,"HSS_L","HSS","OPTIC_FLOW","L"
10573,"LC10a_L","LC10a","OBJECT_TRACKING","L"
10766,"VS_R","VS","OPTIC_FLOW","R"
11134,"VSm_R","VSm","OPTIC_FLOW","R"
11382,"VSm_L","VSm","OPTIC_FLOW","L"
11498,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
11551,"VS_R","VS","OPTIC_FLOW","R"
11793,"HST_L","HST","OPTIC_FLOW","L"
12032,"LC4_L","LC4","LOOMING_COLLISION","L"
12130,"LC10a_L","LC10a","OBJECT_TRACKING","L"
12190,"VS_L","VS","OPTIC_FLOW","L"
12349,"LC4_L","LC4","LOOMING_COLLISION","L"
12384,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
12424,"LC10a_L","LC10a","OBJECT_TRACKING","L"
12458,"LC10a_L","LC10a","OBJECT_TRACKING","L"
12521,"HST(hb5813042688)_R","HST","OPTIC_FLOW","R"
12824,"LC4_L","LC4","LOOMING_COLLISION","L"
13132,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
13593,"LC10d_L","LC10d","OBJECT_TRACKING","L"
13697,"LC10a_L","LC10a","OBJECT_TRACKING","L"
13726,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
13764,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
13853,"LC10d_L","LC10d","OBJECT_TRACKING","L"
13974,"LC10a_L","LC10a","OBJECT_TRACKING","L"
14030,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
14037,"LC10d_L","LC10d","OBJECT_TRACKING","L"
14102,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
14416,"VST2_R","VST2","OPTIC_FLOW","R"
14465,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
14888,"LC4_L","LC4","LOOMING_COLLISION","L"
14980,"LC10a_L","LC10a","OBJECT_TRACKING","L"
15018,"LC4_L","LC4","LOOMING_COLLISION","L"
15181,"LC10d_L","LC10d","OBJECT_TRACKING","L"
15340,"LC10a_L","LC10a","OBJECT_TRACKING","L"
15422,"VST2_R","VST2","OPTIC_FLOW","R"
15471,"LC10a_L","LC10a","OBJECT_TRACKING","L"
15508,"LC10a_L","LC10a","OBJECT_TRACKING","L"
15552,"LC10d_L","LC10d","OBJECT_TRACKING","L"
15804,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
16012,"LC10d_L","LC10d","OBJECT_TRACKING","L"
16128,"LC4_R","LC4","LOOMING_COLLISION","R"
16138,"LC4_R","LC4","LOOMING_COLLISION","R"
16570,"VST2_R","VST2","OPTIC_FLOW","R"
16606,"VST2_R","VST2","OPTIC_FLOW","R"
16628,"LC4_R","LC4","LOOMING_COLLISION","R"
16775,"LC10a_L","LC10a","OBJECT_TRACKING","L"
16809,"LC4_L","LC4","LOOMING_COLLISION","L"
16917,"LC4_L","LC4","LOOMING_COLLISION","L"
17054,"LC4_R","LC4","LOOMING_COLLISION","R"
17059,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
17266,"LC4_R","LC4","LOOMING_COLLISION","R"
17270,"LC4_L","LC4","LOOMING_COLLISION","L"
17317,"LC10d_L","LC10d","OBJECT_TRACKING","L"
17340,"LC4_L","LC4","LOOMING_COLLISION","L"
17364,"LC4_R","LC4","LOOMING_COLLISION","R"
17478,"LC4_L","LC4","LOOMING_COLLISION","L"
17505,"LC10d_L","LC10d","OBJECT_TRACKING","L"
17544,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
17548,"LC4_R","LC4","LOOMING_COLLISION","R"
17551,"LPLC2_R","LPLC2","LOOMING_COLLISION","R"
17608,"LC4_L","LC4","LOOMING_COLLISION","L"
17653,"LC4_L","LC4","LOOMING_COLLISION","L"
17668,"LC4_R","LC4","LOOMING_COLLISION","R"
17774,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
17775,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
17836,"LC10d_L","LC10d","OBJECT_TRACKING","L"
17860,"LC4_R","LC4","LOOMING_COLLISION","R"
17880,"LPLC2_L","LPLC2","LOOMING_COLLISION","L"
17926,"LC4_R","LC4","LOOMING_COLLISION","R"
